srcid,Mode,Q1,Q2,Q3,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q8g,Q8h,Q10a,Q10b,Q10c,Q10d,module,Q11,Q11_CLICK,Q11a,Q11b,Q12,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q14,Q15,Q16,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Sect_0_time,Sect_1_time,Sect_2_time,Sect_3_time,Sect_4_time,Sect_5_time,Sect_6_time,Sect_7_time,Sect_8_time,Sect_9_time,Sect_10_time,Sect_11_time,Sect_12_time,Sect_13_time,Sect_14_time,Sect_15_time,Sect_16_time,p_state,sDevType,sOSName,p_gender_sdc,p_age_group_sdc,p_education_sdc
32,"""2""","""2""","""19""","""16""","""3""","""3""","""4""","""4""","""4""","""3""","""3""","""3""","""4""","""2""","""9""","""8""","""5""","""5""","""9""","""6""","""6""","""9""","""2""","""2""","""5""","""2""","""2""",,,,,,,,,,,,,,"""3""","""3""","""3""","""3""","""2""","""3""","""3""","""2""","""3""","""3""","""2""","""3""","""3""","""3""","""3""",1.200,0.917,0.700,0.633,0.850,0.333,0.517,0.333,0.000,0.000,0.000,0.000,0.000,0.667,0.583,1.300,0.233,"""1""","""0""","""12""","""2""","""3""","""1"""
275,"""2""","""2""","""11""","""12""","""1""","""2""","""2""","""2""","""2""","""1""","""1""","""3""","""1""","""2""","""3""","""3""","""2""","""1""","""2""","""3""","""1""","""4""","""4""","""4""","""4""","""1""","""1""","""3""","""0""","""2""",,"""1""","""2""","""1""","""2""","""1""","""2""","""2""","""3""","""2""",,,,,,,,,,,,,,,,0.750,1.233,0.450,0.650,0.800,0.467,0.633,0.217,0.283,0.933,0.000,0.417,0.200,0.000,0.000,0.000,0.000,"""1""","""2""","""6""","""2""","""4""","""1"""
1180,"""2""","""2""","""-99""",,"""3""","""-99""","""4""","""3""","""4""","""3""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""2""","""3""","""2""","""2""","""2""","""4""","""4""","""4""","""4""","""1""","""2""","""0""","""2""",,"""4""","""1""","""1""","""1""","""1""","""1""","""1""","""4""","""3""",,,,,,,,,,,,,,,,2.650,1.733,1.267,1.133,1.667,0.417,1.083,0.400,0.230,1.433,0.000,0.650,0.450,0.000,0.000,0.000,0.000,"""1""","""1""","""1""","""2""","""3""","""3"""
1600,"""2""","""2""","""19""","""29""","""3""","""4""","""2""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""4""","""5""","""5""","""1""","""5""","""4""","""3""","""7""","""4""","""1""","""1""","""1""","""1""","""1""","""0""",,"""2""","""2""","""-98""","""2""","""2""","""1""","""1""","""2""","""2""","""1""",,,,,,,,,,,,,,,,1.050,1.517,0.817,0.717,0.967,0.567,0.783,0.217,0.400,0.000,3.167,0.350,0.100,0.000,0.000,0.000,0.000,"""1""","""1""","""1""","""2""","""4""","""2"""
840,"""2""","""4""","""16""","""13""","""3""","""3""","""2""","""2""","""2""","""1""","""2""","""2""","""1""","""1""","""7""","""3""","""8""","""3""","""8""","""4""","""8""","""8""","""2""","""2""","""4""","""1""","""1""","""3""","""0""","""2""",,"""2""","""2""","""1""","""2""","""2""","""2""","""2""","""2""","""3""",,,,,,,,,,,,,,,,1.633,1.150,0.683,0.650,0.917,0.167,0.633,0.733,0.600,0.917,0.000,0.233,0.100,0.000,0.000,0.000,0.000,"""1""","""0""","""12""","""1""","""4""","""2"""
1483,"""2""","""2""","""11""","""1""","""2""","""3""","""4""","""3""","""2""","""2""","""2""","""3""","""2""","""2""","""8""","""7""","""6""","""1""","""5""","""5""","""3""","""7""","""2""","""2""","""2""","""2""","""2""",,,,,,,,,,,,,,"""3""","""3""","""4""","""3""","""3""","""4""","""3""","""2""","""3""","""3""","""2""","""3""","""3""","""3""","""3""",1.450,1.150,0.567,0.750,1.500,0.533,0.667,1.483,0.000,0.000,0.000,0.000,0.000,0.883,1.450,1.367,0.217,"""1""","""1""","""1""","""2""","""3""","""2"""
3,"""1""","""4""","""5""","""16""","""1""","""2""","""2""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""5""","""3""","""3""","""1""","""4""","""4""","""3""","""4""","""4""","""4""","""5""","""5""","""2""",,,,,,,,,,,,,,"""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""2""","""3""","""3""","""3""","""3""",0.917,1.583,1.050,1.050,1.333,0.433,0.850,0.750,0.000,0.000,0.000,0.000,0.000,1.333,1.100,2.083,0.383,"""1""","""-1""","""-1""","""2""","""3""","""3"""
1635,"""2""","""2""","""2""","""11""","""3""","""4""","""4""","""3""","""4""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""3""","""2""","""5""","""5""","""4""","""7""","""4""","""4""","""4""","""2""","""2""",,,,,,,,,,,,,,"""2""","""3""","""3""","""3""","""2""","""3""","""3""","""3""","""3""","""3""","""2""","""3""","""3""","""3""","""3""",3.783,1.567,1.567,1.133,1.400,0.867,0.950,1.550,0.000,0.000,0.000,0.000,0.000,2.117,1.183,1.583,0.133,"""1""","""0""","""12""","""1""","""3""","""2"""
1604,"""1""","""2""","""13""","""6""","""3""","""5""","""5""","""2""","""5""","""1""","""1""","""1""","""2""","""1""","""6""","""6""","""8""","""2""","""6""","""6""","""5""","""6""","""4""","""4""","""4""","""4""","""1""","""1""",,,"""2""","""1""","""1""","""-98""","""1""","""1""","""1""","""1""","""3""","""3""",,,,,,,,,,,,,,,,1.567,1.500,2.283,1.100,1.700,0.617,1.550,1.833,1.900,0.000,1.917,0.817,0.167,0.000,0.000,0.000,0.000,"""1""","""-1""","""-1""","""2""","""4""","""3"""
21,"""1""","""4""","""11""","""11""","""2""","""5""","""2""","""5""","""4""","""4""","""1""","""1""","""1""","""1""","""6""","""9""","""5""","""1""","""8""","""5""",,"""9""","""1""","""1""","""3""","""1""","""1""","""2""",,"""2""",,"""2""","""2""","""2""","""2""","""2""","""-98""","""2""","""1""","""3""",,,,,,,,,,,,,,,,1.983,1.583,1.100,1.283,2.400,0.533,0.817,1.250,1.433,2.033,0.000,1.100,0.383,0.000,0.000,0.000,0.000,"""1""","""-1""","""-1""","""2""","""3""","""3"""
