srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q10a,Q10b,Q10c,Q10d,sDevType,sOSName,age_gender
32,"""2""","""19""","""3""","""3""","""4""","""4""","""4""","""3""","""3""","""3""","""4""","""2""","""2""","""2""","""5""","""2""","""0""","""12""",50-64 Female
275,"""2""","""11""","""1""","""2""","""2""","""2""","""2""","""1""","""1""","""3""","""1""","""2""","""4""","""4""","""4""","""1""","""2""","""6""",65+ Female
1180,"""2""","""-99""","""3""","""-99""","""4""","""3""","""4""","""3""","""3""","""3""","""3""","""2""","""4""","""4""","""4""","""4""","""1""","""1""",50-64 Female
1600,"""2""","""19""","""3""","""4""","""2""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""4""","""1""","""1""","""1""","""1""","""1""",65+ Female
840,"""4""","""16""","""3""","""3""","""2""","""2""","""2""","""1""","""2""","""2""","""1""","""1""","""2""","""2""","""4""","""1""","""0""","""12""",65+ Male
1483,"""2""","""11""","""2""","""3""","""4""","""3""","""2""","""2""","""2""","""3""","""2""","""2""","""2""","""2""","""2""","""2""","""1""","""1""",50-64 Female
3,"""4""","""5""","""1""","""2""","""2""","""2""","""2""","""1""","""1""","""1""","""1""","""1""","""4""","""4""","""5""","""5""","""-1""","""-1""",50-64 Female
1635,"""2""","""2""","""3""","""4""","""4""","""3""","""4""","""2""","""2""","""2""","""2""","""2""","""4""","""4""","""4""","""2""","""0""","""12""",50-64 Male
1604,"""2""","""13""","""3""","""5""","""5""","""2""","""5""","""1""","""1""","""1""","""2""","""1""","""4""","""4""","""4""","""4""","""-1""","""-1""",65+ Female
21,"""4""","""11""","""2""","""5""","""2""","""5""","""4""","""4""","""1""","""1""","""1""","""1""","""1""","""1""","""3""","""1""","""-1""","""-1""",50-64 Female
2023,"""2""","""1""","""-98""","""4""","""4""","""3""","""3""","""3""","""3""","""4""","""4""","""4""","""1""","""2""","""2""","""4""","""0""","""12""",50-64 Female
1789,"""4""","""11""","""4""","""4""","""3""","""3""","""3""","""2""","""2""","""2""","""2""","""1""","""4""","""4""","""4""","""2""","""0""","""12""",50-64 Female
