srcid,Q1,Q2,Q4,Q6a,Q6b,Q6c,Q6d,Q7a,Q7b,Q7c,Q7d,Q7e,Q10a,Q10b,Q10c,Q10d,sDevType,sOSName,age_gender
32,2,19,3,3,4,4,4,3,3,3,4,2,2,2,5,2,0,12,6
275,2,11,1,2,2,2,2,1,1,3,1,2,4,4,4,1,2,6,8
1180,2,-99,3,-99,4,3,4,3,3,3,3,2,4,4,4,4,1,1,6
1600,2,19,3,4,2,2,2,1,1,1,1,1,4,1,1,1,1,1,8
840,4,16,3,3,2,2,2,1,2,2,1,1,2,2,4,1,0,12,7
1483,2,11,2,3,4,3,2,2,2,3,2,2,2,2,2,2,1,1,6
3,4,5,1,2,2,2,2,1,1,1,1,1,4,4,5,5,-1,-1,6
1635,2,2,3,4,4,3,4,2,2,2,2,2,4,4,4,2,0,12,5
1604,2,13,3,5,5,2,5,1,1,1,2,1,4,4,4,4,-1,-1,8
21,4,11,2,5,2,5,4,4,1,1,1,1,1,1,3,1,-1,-1,6
2023,2,1,-98,4,4,3,3,3,3,4,4,4,1,2,2,4,0,12,6
1789,4,11,4,4,3,3,3,2,2,2,2,1,4,4,4,2,0,12,6
780,2,16,96,2,3,2,2,2,2,1,3,2,2,4,4,2,1,6,8
859,2,28,96,4,4,4,3,4,3,3,3,3,4,4,4,4,0,12,4
733,2,4,1,4,4,4,4,2,2,2,3,2,2,4,2,4,0,12,3
2355,1,1,1,5,5,5,5,3,1,4,2,2,4,5,5,5,-1,-1,8
750,5,19,1,3,3,3,2,2,2,2,2,2,4,4,4,4,1,6,5
1538,2,-98,96,3,2,3,2,1,1,3,2,2,4,4,4,2,0,12,6
2607,2,16,1,3,3,3,2,2,2,2,2,1,2,4,4,1,-1,-1,8
1052,3,36,8,4,3,2,2,2,2,2,1,1,3,4,4,4,-1,-1,8
977,4,11,3,3,2,3,2,2,2,1,2,1,5,5,5,1,0,12,8
466,4,13,1,4,4,5,2,3,2,3,3,1,2,4,4,2,-1,-1,8
537,4,13,1,5,3,4,3,3,1,2,3,3,2,2,4,1,-1,-1,8
